data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage,cbmaker,combos,sfiha,kit1,kit2,snack,pastas,dishes,promotion,savory,salads,range,dessert1,desserte,pizzas1,pizzase,beverage1,beveragee,cbmaker1,cbmakere,combos1,combose,sfiha1,sfihae,kit11,kit1e,kit21,kit2e,snack1,snacke,pastas1,pastase,dishes1,dishese,promotion1,promotione,savory1,savorye,salads1,saladse
"01/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,44952.00,0.00,27.30,18.30,21.88,71.00,9.50,"TUR",1,1,1956.00,182.00,1451.00,0.00,1209.00,29415.00,17.00,1.00,950.00,377.00,401.00,0.00,8956.00,37.00,"Range-12",2229,-0.1396,263,-0.4451,1419,0.0221,14,0.0000,1735,0.0000,24402,0.17,19,0.0000,3,0.0000,835,0.1211,415,-0.1008,391,0.0249,0,0.0000,9729,-0.0863,33,0.1081
"05/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,38919.00,0.00,25.40,18.20,21.08,74.75,5.10,"MON",1,1,1693.00,174.00,1310.00,0.00,1099.00,23955.00,11.00,3.00,798.00,445.00,384.00,0.00,9005.00,42.00,"Range-10",2229,-0.3166,263,-0.5115,1419,-0.0832,14,0.0000,1735,0.0000,24402,-0.02,19,0.0000,3,0.0000,835,-0.0464,415,0.0674,391,-0.0182,0,0.0000,9729,-0.0804,33,0.2143
"06/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,41083.00,0.00,24.40,17.70,20.82,78.00,0.50,"TUE",1,1,1847.00,161.00,1356.00,0.00,1133.00,25637.00,26.00,2.00,789.00,425.00,320.00,0.00,9360.00,27.00,"Range-11",2229,-0.2068,263,-0.6335,1419,-0.0465,14,0.0000,1735,0.0000,24402,0.05,19,0.0000,3,0.0000,835,-0.0583,415,0.0235,391,-0.2219,0,0.0000,9729,-0.0394,33,-0.2222
"08/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,50309.00,0.00,29.60,17.30,23.56,62.25,7.20,"TUR",1,1,2144.00,195.00,1612.00,0.00,1353.00,31841.00,19.00,2.00,1064.00,439.00,458.00,0.00,11135.00,47.00,"Range-13",2229,-0.0396,263,-0.3487,1419,0.1197,14,0.0000,1735,0.0000,24402,0.23,19,0.0000,3,0.0000,835,0.2152,415,0.0547,391,0.1463,0,0.0000,9729,0.1263,33,0.2979
"07/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,43138.00,0.00,29.00,18.80,23.32,65.75,9.60,"WED",1,1,1867.00,159.00,1389.00,0.00,1255.00,27108.00,15.00,2.00,835.00,433.00,395.00,0.00,9648.00,32.00,"Range-11",2229,-0.1939,263,-0.6541,1419,-0.0216,14,0.0000,1735,0.0000,24402,0.10,19,0.0000,3,0.0000,835,0.0000,415,0.0416,391,0.0101,0,0.0000,9729,-0.0084,33,-0.0313
"12/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,80628.00,0.00,32.00,22.70,25.74,71.00,8.60,"MON",1,1,3426.00,373.00,2242.00,0.00,2299.00,52416.00,36.00,1.00,1589.00,698.00,763.00,0.00,16733.00,52.00,"Range-23",2229,0.3494,263,0.2949,1419,0.3671,14,0.0000,1735,0.0000,24402,0.53,19,0.0000,3,0.0000,835,0.4745,415,0.4054,391,0.4875,0,0.0000,9729,0.4186,33,0.3654
"13/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,85833.00,2.00,24.50,18.60,20.32,85.50,0.00,"TUE",1,1,4411.00,388.00,2497.00,0.00,2428.00,54552.00,32.00,3.00,1853.00,855.00,813.00,0.00,17960.00,41.00,"Range-31",2229,0.4947,263,0.3222,1419,0.4317,14,0.0000,1735,0.0000,24402,0.55,19,0.0000,3,0.0000,835,0.5494,415,0.5146,391,0.5191,0,0.0000,9729,0.4583,33,0.1951
"14/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,59647.00,0.00,22.20,18.20,20.18,85.25,0.00,"WED",1,1,2604.00,281.00,1891.00,0.00,1662.00,37074.00,24.00,0.00,1228.00,618.00,615.00,0.00,13612.00,38.00,"Range-17",2229,0.1440,263,0.0641,1419,0.2496,14,0.0000,1735,0.0000,24402,0.34,19,0.0000,3,0.0000,835,0.3200,415,0.3285,391,0.3642,0,0.0000,9729,0.2853,33,0.1316
"15/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,38244.00,1.30,24.10,17.80,20.50,85.50,0.20,"TUR",1,1,1737.00,159.00,1255.00,0.00,1045.00,23493.00,17.00,2.00,796.00,442.00,406.00,0.00,8853.00,39.00,"Range-10",2229,-0.2832,263,-0.6541,1419,-0.1307,14,0.0000,1735,0.0000,24402,-0.04,19,0.0000,3,0.0000,835,-0.0490,415,0.0611,391,0.0369,0,0.0000,9729,-0.0989,33,0.1538
"21/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,36354.00,5.00,29.70,21.50,25.32,62.00,10.90,"WED",1,1,1565.00,153.00,1205.00,0.00,946.00,22499.00,7.00,2.00,754.00,388.00,393.00,0.00,8399.00,43.00,"Range-09",2229,-0.4243,263,-0.7190,1419,-0.1776,14,0.0000,1735,0.0000,24402,-0.08,19,0.0000,3,0.0000,835,-0.1074,415,-0.0696,391,0.0051,0,0.0000,9729,-0.1584,33,0.2326
