data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage,cbmaker,combos,sfiha,kit1,kit2,snack,pastas,dishes,promotion,savory,salads,range,dessert1,desserte,pizzas1,pizzase,beverage1,beveragee,cbmaker1,cbmakere,combos1,combose,sfiha1,sfihae,kit11,kit1e,kit21,kit2e,snack1,snacke,pastas1,pastase,dishes1,dishese,promotion1,promotione,savory1,savorye,salads1,saladse
"04/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,53617.00,0.00,31.30,21.00,24.82,83.75,5.60,"SUN",2,2,4300.00,374.00,2129.00,0.00,2643.00,27007.00,26.00,5.00,1455.00,849.00,757.00,772.00,13253.00,47.00,"Range-30",4184,0.0270,772,-1.0642,2271,-0.0667,15,0.0000,4426,0.0000,25822,0.04,39,0.0000,8,0.0000,1393,0.0426,741,0.1272,627,0.1717,1891,0.0000,10320,0.2213,39,0.1702
"11/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,52208.00,0.40,31.00,19.30,24.42,70.25,7.10,"SUN",2,2,3998.00,354.00,2209.00,0.00,3089.00,27433.00,41.00,13.00,1464.00,769.00,754.00,1042.00,11004.00,38.00,"Range-28",4184,-0.0465,772,-1.1808,2271,-0.0281,15,0.0000,4426,0.0000,25822,0.06,39,0.0000,8,0.0000,1393,0.0485,741,0.0364,627,0.1684,1891,0.0000,10320,0.0622,39,-0.0263
"18/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,60763.00,0.00,32.00,19.70,24.62,74.00,8.90,"SUN",2,2,4326.00,1958.00,2291.00,0.00,2667.00,26249.00,43.00,15.00,1217.00,740.00,704.00,10096.00,10401.00,56.00,"Range-31",4184,0.0328,772,0.6057,2271,0.0087,15,0.0000,4426,0.0000,25822,0.02,39,0.0000,8,0.0000,1393,-0.1446,741,-0.0014,627,0.1094,1891,0.0000,10320,0.0078,39,0.3036
"25/03/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,60921.00,0.00,30.20,20.60,25.88,56.50,11.30,"SUN",2,2,3936.00,2072.00,2442.00,0.00,2741.00,25370.00,36.00,6.00,1282.00,741.00,769.00,10511.00,10959.00,56.00,"Range-27",4184,-0.0630,772,0.6274,2271,0.0700,15,0.0000,4426,0.0000,25822,-0.02,39,0.0000,8,0.0000,1393,-0.0866,741,0.0000,627,0.1847,1891,0.0000,10320,0.0583,39,0.3036
"01/04/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,52779.00,8.00,28.50,19.30,24.02,73.25,4.60,"SUN",2,2,2779.00,1627.00,2041.00,0.00,2391.00,22977.00,34.00,11.00,1094.00,612.00,652.00,8552.00,9975.00,34.00,"Range-18",4184,-0.5056,772,0.5255,2271,-0.1127,15,0.0000,4426,0.0000,25822,-0.12,39,0.0000,8,0.0000,1393,-0.2733,741,-0.2108,627,0.0383,1891,0.0000,10320,-0.0346,39,-0.1471
"08/04/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,55617.00,0.00,28.10,18.70,22.06,77.75,4.70,"SUN",2,2,3710.00,440.00,2401.00,43.00,4104.00,28751.00,29.00,11.00,1910.00,1013.00,883.00,0.00,12272.00,50.00,"Range-26",4184,-0.1278,772,-0.7545,2271,0.0541,15,0.0000,4426,0.0000,25822,0.10,39,0.0000,8,0.0000,1393,0.2707,741,0.2685,627,0.2899,1891,0.0000,10320,0.1591,39,0.2200
"15/04/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,60314.00,3.80,20.80,18.40,19.44,88.25,0.00,"SUN",2,2,4527.00,3428.00,2866.00,51.00,4242.00,28701.00,35.00,19.00,1834.00,1056.00,864.00,0.00,12641.00,50.00,"Range-32",4184,0.0758,772,0.7748,2271,0.2076,15,0.0000,4426,0.0000,25822,0.10,39,0.0000,8,0.0000,1393,0.2405,741,0.2983,627,0.2743,1891,0.0000,10320,0.1836,39,0.2200
"22/04/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,54815.00,0.00,26.30,15.80,20.24,74.25,9.20,"SUN",2,2,4160.00,3365.00,2635.00,44.00,3858.00,25144.00,36.00,8.00,1755.00,937.00,829.00,0.00,11994.00,50.00,"Range-29",4184,-0.0058,772,0.7706,2271,0.1381,15,0.0000,4426,0.0000,25822,-0.03,39,0.0000,8,0.0000,1393,0.2063,741,0.2092,627,0.2437,1891,0.0000,10320,0.1396,39,0.2200
"29/04/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,51632.00,0.00,28.40,19.00,21.98,76.00,6.70,"SUN",2,2,4347.00,3341.00,2621.00,50.00,3967.00,23604.00,27.00,11.00,1583.00,820.00,759.00,0.00,10454.00,48.00,"Range-31",4184,0.0375,772,0.7689,2271,0.1335,15,0.0000,4426,0.0000,25822,-0.09,39,0.0000,8,0.0000,1393,0.1200,741,0.0963,627,0.1739,1891,0.0000,10320,0.0128,39,0.1875
"06/05/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,56000.00,0.00,25.80,18.10,21.06,73.50,7.70,"SUN",2,2,4287.00,476.00,2472.00,62.00,4429.00,28851.00,31.00,3.00,1955.00,916.00,774.00,0.00,11706.00,38.00,"Range-30",4184,0.0240,772,-0.6218,2271,0.0813,15,0.0000,4426,0.0000,25822,0.10,39,0.0000,8,0.0000,1393,0.2875,741,0.1910,627,0.1899,1891,0.0000,10320,0.1184,39,-0.0263
